IPAddress,Address
192.168.1.1,123 Main St
192.168.1.2,456 Elm St
192.168.1.3,789 Oak St
192.168.1.4,101 Maple St
192.168.1.5,202 Pine St
1.1.1.1,303 Birch St
192.168.1.7,404 Cedar St
192.168.1.8,505 Walnut St
192.168.1.9,606 Ash St
208.67.222.222,707 Willow St
192.168.1.11,808 Cherry St
192.168.1.12,909 Hickory St
192.168.1.13,111 Spruce St
192.168.1.14,222 Fir St
192.168.1.15,333 Redwood St
208.67.220.220,444 Poplar St
192.168.1.17,555 Sycamore St
192.168.1.18,666 Beech St
8.8.8.8,777 Cypress St
192.168.1.20,888 Dogwood St